example_id,generated_summary,reference_summary,rouge1_precision,rouge1_recall,rouge1_fmeasure,rouge2_precision,rouge2_recall,rouge2_fmeasure,rougeL_precision,rougeL_recall,rougeL_fmeasure,bleu_score,embedding_similarity
0,semantic parsing with semi-supervised Sequential Autoencoders. a key re- quirement for effectively training such models is an abundance of supervised data. we propose a novel architecture that ac- commodates semi-supervised training on sequence transduction tasks.,"We present a novel semi-supervised approach
for sequence transduction and apply it to se-
mantic parsing. The unsupervised component
is based on a generative model in which latent
sentences generate the unpaired logical forms.
We apply this method to a number of semantic
parsing tasks focusing on domains with lim-
ited access to labelled training data and ex-
tend those datasets with synthetically gener-
ated logical forms.
1",0.5135135135135135,0.2753623188405797,0.3584905660377359,0.1111111111111111,0.058823529411764705,0.07692307692307691,0.21621621621621623,0.11594202898550725,0.1509433962264151,0.009365521136571802,0.7714605
1,"the VPN achieves 87.6 nats/frame, a score that is near the lower bound on the loss. current approaches range from mean squared error models based on deep neural networks to models that predict quantized image patches. the model operates on pixels without preprocessing and predicts discrete multinomial distributions over raw pixel intensities.","We propose a probabilistic video model, the Video Pixel Network (VPN),
that estimates the discrete joint distribution of the raw pixel values in
a video. The model and the neural architecture reﬂect the time, space
and color structure of video tensors and encode it as a four-dimensional
dependency chain. The VPN approaches the best possible performance on
the Moving MNIST benchmark, a leap over the previous state of the art,
and the generated videos show only minor deviations from the ground truth.
The VPN also produces detailed samples on the action-conditional Robotic
Pushing benchmark and generalizes to the motion of novel objects.
1",0.42592592592592593,0.2169811320754717,0.28750000000000003,0.07547169811320754,0.0380952380952381,0.05063291139240506,0.18518518518518517,0.09433962264150944,0.125,0.005832010983007652,0.54803807
2,"a recent deep reinforcement learning algorithm can scale to complex 3D manipulation tasks and can learn deep neural network policies efficiently enough to train on real robots. in this paper, we demonstrate that the training times can be further reduced by parallelizing the algorithm across multiple robots which pool their policy updates asynchronously. the main contribution of this paper is a demonstration of autonomous door opening.","Deep Reinforcement Learning for Robotic Manipulation with
Asynchronous Off-Policy Updates
Shixiang Gu∗,1,2,3 and Ethan Holly∗,1 and Timothy Lillicrap4 and Sergey Levine1,5
Abstract— Reinforcement lear",0.13636363636363635,0.3,0.18749999999999997,0.046153846153846156,0.10344827586206896,0.06382978723404256,0.09090909090909091,0.2,0.12500000000000003,0.0027574366655649983,0.72430664
3,"a number of problems in machine learning lack a single unified cost, and instead consist of a hybrid of several models. each of which passes information to other models but tries to minimize its own private loss function. in both cases the information flow is a simple feedforward pass from one model which either takes an action (AC) or generates a sample (GANs) to a second model which evaluates the output of the first model.","Both generative adversarial networks (GAN) in unsupervised learning and actor-
critic methods in reinforcement learning (RL) have gained a reputation for being
difﬁcult to optimize. Practitioners in both ﬁelds have amassed a large number of
strategies to mitigate these instabilities and improve training. Here we show that
GANs can be viewed as actor-critic methods in an environment where the actor
cannot affect the reward. We review the strategies for stabilizing training for each
class of models, both those that generalize between the two and those that are par-
ticular to that model. We also review a number of extensions to GANs and RL
algorithms with even more complicated information ﬂow. We hope that by high-
lighting this formal connection we will encourage both GAN and RL communi-
ties to develop general, scalable, and stable algorithms for multilevel optimization
with deep networks, and to draw inspiration across communities.
1",0.3333333333333333,0.16666666666666666,0.2222222222222222,0.04054054054054054,0.020134228187919462,0.026905829596412554,0.18666666666666668,0.09333333333333334,0.12444444444444445,0.008240159216954734,0.49620923
4,"implicit models use a latent variable z and trans- form it using a deterministic function G that maps from Rm Rd using parameters . implicit models are more natural for many problems, e.g., many of the basic methods for generating non-uniform random variates are based on simple implicit models.","Generative adversarial networks (GANs) provide
an algorithmic framework for constructing gen-
erative models with several appealing proper-
ties: they do not require a likelihood function
to be speciﬁed, only a generating procedure; they
provide samples that are sharp and compelling;
and they allow us to harness our knowledge of
building highly accurate neural network classi-
ﬁers. Here, we develop our understanding of
GANs with the aim of forming a rich view of
this growing area of machine learning—to build
connections to the diverse set of statistical think-
ing on this topic, of which much can be gained
by a mutual exchange of ideas. We frame GANs
within the wider landscape of algorithms for learn-
ing in implicit generative models—models that
only specify a stochastic procedure with which
to generate data—and relate these ideas to mod-
elling problems in related ﬁelds, such as econo-
metrics and approximate Bayesian computation.
We develop likelihood-free inference methods
and highlight hypothesis testing as a principle
for learning in implicit generative models, using
which we are able to derive the objective func-
tion used by GANs, and many other related ob-
jectives. The testing viewpoint directs our fo-
cus to the general problem of density-ratio and
density-difference estimation. There are four ap-
proaches for density comparison, one of which
is a solution using classiﬁers to distinguish real
from generated data. Other approaches such as
divergence minimisation and moment matching
have also been explored, and we synthesise these
views to form an understanding in terms of the re-
lationships between them and the wider literature,
highlighting avenues for future exploration and
cross-pollination.
*Equal contribution 1DeepMind, London, UK. Correspondence
to: Shakir Mohamed <shakir@google.com>, Balaji Lakshmi-
narayanan <balajiln@google.com>.",0.52,0.08904109589041095,0.15204678362573099,0.04081632653061224,0.006872852233676976,0.011764705882352941,0.28,0.04794520547945205,0.08187134502923976,0.00013197974937374562,0.32253924
5,deep RL algorithms are too slow to achieve performance on a real robot. the progressive net approach is a general framework that enables reuse of everything from low-level visual features to high-level policies for transfer to new tasks. we propose using progressive networks to bridge the reality gap that separates simulation from real world domains.,"Sim-to-Real Robot Learning from Pixels with
Progressive Nets
Andrei A. Rusu
DeepMind
London, UK
andreirusu@google.com
Mel Veˇcerík
DeepMind
London, UK
matejvecerik@google.com
Thomas Rothörl
DeepMind
L",0.14035087719298245,0.23529411764705882,0.1758241758241758,0.03571428571428571,0.06060606060606061,0.0449438202247191,0.10526315789473684,0.17647058823529413,0.13186813186813184,0.003324612889947367,0.7377403
6,"a low-level controller generates stable and coherent exploratory behavior. a higher level controller can then recruit these motor behaviors to simplify the solution of complex tasks. the controller has direct access only to task-independent, proprioceptive information.","We study a novel architecture and training procedure for locomotion tasks. A
high-frequency, low-level “spinal” network with access to proprioceptive sensors
learns sensorimotor primitives by training on simple tasks. This pre-trained module
is ﬁxed and connected to a low-frequency, high-level “cortical” network, with
access to all sensors, which drives behavior by modulating the inputs to the spinal
network. Where a monolithic end-to-end architecture fails completely, learning
with a pre-trained spinal module succeeds at multiple high-level tasks, and enables
the effective exploration required to learn from sparse rewards. We test our pro-
posed architecture on three simulated bodies: a 16-dimensional swimming snake, a
20-dimensional quadruped, and a 54-dimensional humanoid (see attached video).
1",0.39473684210526316,0.12096774193548387,0.18518518518518517,0.05405405405405406,0.016260162601626018,0.025,0.3157894736842105,0.0967741935483871,0.14814814814814814,0.0011374004992362266,0.4216212
7,"a sparse version of the recently published Differentiable Neural Computer (SDNC) can be used to scale memory-augmented neural networks with Sparse Reads and Writes. the LSTM architecture has proven to be powerful sequence learning models. but the number of parameters grows proportionally to the square of the memory, making them unsuitable for problems requiring large amounts of long-term memory.","Neural networks augmented with external memory have the ability to learn algorith-
mic solutions to complex tasks. These models appear promising for applications
such as language modeling and machine translation. However, they scale poorly in
both space and time as the amount of memory grows — limiting their applicability
to real-world domains. Here, we present an end-to-end differentiable memory
access scheme, which we call Sparse Access Memory (SAM), that retains the
representational power of the original approaches whilst training efﬁciently with
very large memories. We show that SAM achieves asymptotic lower bounds in
space and time complexity, and ﬁnd that an implementation runs 1,000× faster
and with 3,000× less physical memory than non-sparse models. SAM learns with
comparable data efﬁciency to existing models on a range of synthetic tasks and
one-shot Omniglot character recognition, and can scale to tasks requiring 100,000s
of time steps and memories. As well, we show how our approach can be adapted
for models that maintain temporal associations between memories, as with the
recently introduced Differentiable Neural Computer.
1",0.6229508196721312,0.2087912087912088,0.31275720164609055,0.11666666666666667,0.03867403314917127,0.058091286307053944,0.29508196721311475,0.0989010989010989,0.14814814814814814,0.002591633073249409,0.6825485
8,"a number of model-based methods for machine transliteration have been developed in the past. such models assume character sequences correspond to predictable char- acter sequences in the target orthography, possibly depending on context. some models additionally as- sume that such correspondences are influenced by phonetic information. in many areas, including machine translation, end-to-end deep learning models have become a good alternative to traditional statistical ap- proaches.","Transliteration is a key component of machine
translation systems and software internation-
alization. This paper demonstrates that neural
sequence-to-sequence models obtain state of
the art or close to state of the art results on ex-
isting datasets. In an effort to make machine
transliteration accessible, we open source a
new Arabic to English transliteration dataset
and our trained models.
1",0.2753623188405797,0.3064516129032258,0.2900763358778626,0.029411764705882353,0.03278688524590164,0.031007751937984496,0.17391304347826086,0.1935483870967742,0.183206106870229,0.009310894037007574,0.77553475
9,"AD libraries are enjoying broad use, spurred on by the success of neural networks on some of the most challenging problems of machine learning. the dominant mode of development in these libraries is to define a forward parametric computation, in the form of a directed acyclic graph, that computes the desired objective. a backwards computation for the gradient of the objective can be derived automatically with the chain rule.","The reparameterization trick enables optimizing large scale stochastic computa-
tion graphs via gradient descent. The essence of the trick is to refactor each
stochastic node into a differentiable function of its parameters and a random vari-
able with ﬁxed distribution. After refactoring, the gradients of the loss propa-
gated by the chain rule through the graph are low variance unbiased estimators
of the gradients of the expected loss. While many continuous random variables
have such reparameterizations, discrete random variables lack useful reparame-
terizations due to the discontinuous nature of discrete states. In this work we
introduce CONCRETE random variables—CONtinuous relaxations of disCRETE
random variables.
The Concrete distribution is a new family of distributions
with closed form densities and a simple reparameterization. Whenever a discrete
stochastic node of a computation graph can be refactored into a one-hot bit rep-
resentation that is treated continuously, Concrete stochastic nodes can be used
with automatic differentiation to produce low-variance biased gradients of objec-
tives (including objectives that depend on the log-probability of latent stochastic
nodes) on the corresponding discrete graph. We demonstrate the effectiveness of
Concrete relaxations on density estimation and structured prediction tasks using
neural networks.
1",0.5652173913043478,0.19696969696969696,0.29213483146067415,0.16176470588235295,0.05583756345177665,0.0830188679245283,0.2898550724637681,0.10101010101010101,0.149812734082397,0.00296177766257772,0.37547126
